Год;Квартал;Федеральный округ;Регион;Количество страхователей, тыс. ед.;
2016;4;Дальневосточный Федеральный округ;Амурская область;20465,0;
2016;4;Дальневосточный Федеральный округ;Еврейская автономная область;4203,0;
2016;4;Дальневосточный Федеральный округ;Камчатский край;12596,0;
2016;4;Дальневосточный Федеральный округ;Магаданская область;5370,0;
2016;4;Дальневосточный Федеральный округ;Приморский край;78253,0;
2016;4;Дальневосточный Федеральный округ;Республика Саха (Якутия);28181,0;
2016;4;Дальневосточный Федеральный округ;Сахалинская область;19576,0;
2016;4;Дальневосточный Федеральный округ;Хабаровский край;49060,0;
2016;4;Приволжский Федеральный округ;Кировская область;42171,0;
2016;4;Приволжский Федеральный округ;Нижегородская область;119073,0;
2016;4;Приволжский Федеральный округ;Оренбургская область;46623,0;
2016;4;Приволжский Федеральный округ;Пензенская область;35319,0;
2016;4;Приволжский Федеральный округ;Пермский край;94426,0;
2016;4;Приволжский Федеральный округ;Республика Башкортостан;101211,0;
2016;4;Приволжский Федеральный округ;Республика Марий Эл;18574,0;
2016;4;Приволжский Федеральный округ;Республика Мордовия;18424,0;
2016;4;Приволжский Федеральный округ;Республика Татарстан;144203,0;
2016;4;Приволжский Федеральный округ;Самарская область;121866,0;
2016;4;Приволжский Федеральный округ;Саратовская область;59091,0;
2016;4;Приволжский Федеральный округ;Удмуртская республика;47973,0;
2016;4;Приволжский Федеральный округ;Ульяновская область;35702,0;
2016;4;Приволжский Федеральный округ;Чувашская республика;29930,0;
2016;4;Северо-Западный Федеральный округ;Архангельская область;28487,0;
2016;4;Северо-Западный Федеральный округ;Вологодская область;50915,0;
2016;4;Северо-Западный Федеральный округ;Калининградская область;60347,0;
2016;4;Северо-Западный Федеральный округ;Ленинградская область;40476,0;
2016;4;Северо-Западный Федеральный округ;Мурманская область;20727,0;
2016;4;Северо-Западный Федеральный округ;Ненецкий автономный округ;1209,0;
2016;4;Северо-Западный Федеральный округ;Новгородская область;17824,0;
2016;4;Северо-Западный Федеральный округ;Псковская область;17425,0;
2016;4;Северо-Западный Федеральный округ;Республика Карелия;26026,0;
2016;4;Северо-Западный Федеральный округ;Республика Коми;25537,0;
2016;4;Северо-Западный Федеральный округ;Санкт-Петербург;362920,0;
2016;4;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;12778,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Дагестан;34800,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Ингушетия;5553,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;7431,0;
2016;4;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;11240,0;
2016;4;Северо-Кавказский Федеральный округ;Ставропольский край;61151,0;
2016;4;Северо-Кавказский Федеральный округ;Чеченская республика;10657,0;
2016;4;Сибирский Федеральный округ;Алтайский край;65919,0;
2016;4;Сибирский Федеральный округ;Забайкальский край;20863,0;
2016;4;Сибирский Федеральный округ;Иркутская область;70521,0;
2016;4;Сибирский Федеральный округ;Кемеровская область;58538,0;
2016;4;Сибирский Федеральный округ;Красноярский край;91217,0;
2016;4;Сибирский Федеральный округ;Новосибирская область;134156,0;
2016;4;Сибирский Федеральный округ;Омская область;54512,0;
2016;4;Сибирский Федеральный округ;Республика Алтай;7167,0;
2016;4;Сибирский Федеральный округ;Республика Бурятия;23515,0;
2016;4;Сибирский Федеральный округ;Республика Тыва;4534,0;
2016;4;Сибирский Федеральный округ;Республика Хакасия;14255,0;
2016;4;Сибирский Федеральный округ;Томская область;38109,0;
2016;4;Уральский Федеральный округ;Курганская область;19748,0;
2016;4;Уральский Федеральный округ;Свердловская область;182344,0;
2016;4;Уральский Федеральный округ;Тюменская область;50658,0;
2016;4;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;45626,0;
2016;4;Уральский Федеральный округ;Челябинская область;115150,0;
2016;4;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;14443,0;
2016;4;Центральный Федеральный округ;Белгородская область;45432,0;
2016;4;Центральный Федеральный округ;Брянская область;24181,0;
2016;4;Центральный Федеральный округ;Владимирская область;40450,0;
2016;4;Центральный Федеральный округ;Воронежская область;68717,0;
2016;4;Центральный Федеральный округ;Ивановская область;40240,0;
2016;4;Центральный Федеральный округ;Калужская область;30995,0;
2016;4;Центральный Федеральный округ;Костромская область;21448,0;
2016;4;Центральный Федеральный округ;Курская область;27775,0;
2016;4;Центральный Федеральный округ;Липецкая область;26651,0;
2016;4;Центральный Федеральный округ;Москва;1004225,0;
2016;4;Центральный Федеральный округ;Московская область;271617,0;
2016;4;Центральный Федеральный округ;Орловская область;19766,0;
2016;4;Центральный Федеральный округ;Рязанская область;37158,0;
2016;4;Центральный Федеральный округ;Смоленская область;31156,0;
2016;4;Центральный Федеральный округ;Тамбовская область;22510,0;
2016;4;Центральный Федеральный округ;Тверская область;41142,0;
2016;4;Центральный Федеральный округ;Тульская область;42642,0;
2016;4;Центральный Федеральный округ;Ярославская область;52171,0;
2016;4;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2016;4;Южный Федеральный округ;Астраханская область;24028,0;
2016;4;Южный Федеральный округ;Волгоградская область;60005,0;
2016;4;Южный Федеральный округ;Краснодарский край;181036,0;
2016;4;Южный Федеральный округ;Республика Адыгея;10260,0;
2016;4;Южный Федеральный округ;Республика Калмыкия;5940,0;
2016;4;Южный Федеральный округ;Республика Крым;48217,0;
2016;4;Южный Федеральный округ;Ростовская область;109460,0;
2016;4;Южный Федеральный округ;Севастополь;14203,0;
2017;1;Дальневосточный Федеральный округ;Амурская область;19686,0;
2017;1;Дальневосточный Федеральный округ;Еврейская автономная область;4096,0;
2017;1;Дальневосточный Федеральный округ;Камчатский край;12294,0;
2017;1;Дальневосточный Федеральный округ;Магаданская область;5254,0;
2017;1;Дальневосточный Федеральный округ;Приморский край;75651,0;
2017;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);27778,0;
2017;1;Дальневосточный Федеральный округ;Сахалинская область;19312,0;
2017;1;Дальневосточный Федеральный округ;Хабаровский край;48172,0;
2017;1;Дальневосточный Федеральный округ;Чукотский автономный округ;1167,0;
2017;1;Приволжский Федеральный округ;Кировская область;41802,0;
2017;1;Приволжский Федеральный округ;Нижегородская область;116163,0;
2017;1;Приволжский Федеральный округ;Оренбургская область;45363,0;
2017;1;Приволжский Федеральный округ;Пензенская область;34926,0;
2017;1;Приволжский Федеральный округ;Пермский край;93089,0;
2017;1;Приволжский Федеральный округ;Республика Башкортостан;99058,0;
2017;1;Приволжский Федеральный округ;Республика Марий Эл;17897,0;
2017;1;Приволжский Федеральный округ;Республика Мордовия;18414,0;
2017;1;Приволжский Федеральный округ;Республика Татарстан;142684,0;
2017;1;Приволжский Федеральный округ;Самарская область;120717,0;
2017;1;Приволжский Федеральный округ;Саратовская область;58735,0;
2017;1;Приволжский Федеральный округ;Удмуртская республика;46976,0;
2017;1;Приволжский Федеральный округ;Ульяновская область;34847,0;
2017;1;Приволжский Федеральный округ;Чувашская республика;29625,0;
2017;1;Северо-Западный Федеральный округ;Архангельская область;27697,0;
2017;1;Северо-Западный Федеральный округ;Вологодская область;50144,0;
2017;1;Северо-Западный Федеральный округ;Калининградская область;60329,0;
2017;1;Северо-Западный Федеральный округ;Ленинградская область;39741,0;
2017;1;Северо-Западный Федеральный округ;Мурманская область;20721,0;
2017;1;Северо-Западный Федеральный округ;Ненецкий автономный округ;1180,0;
2017;1;Северо-Западный Федеральный округ;Новгородская область;17629,0;
2017;1;Северо-Западный Федеральный округ;Псковская область;17463,0;
2017;1;Северо-Западный Федеральный округ;Республика Карелия;25690,0;
2017;1;Северо-Западный Федеральный округ;Республика Коми;24532,0;
2017;1;Северо-Западный Федеральный округ;Санкт-Петербург;359837,0;
2017;1;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;13400,0;
2017;1;Северо-Кавказский Федеральный округ;Республика Дагестан;34110,0;
2017;1;Северо-Кавказский Федеральный округ;Республика Ингушетия;5616,0;
2017;1;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;7340,0;
2017;1;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;11089,0;
2017;1;Северо-Кавказский Федеральный округ;Ставропольский край;60443,0;
2017;1;Северо-Кавказский Федеральный округ;Чеченская республика;10514,0;
2017;1;Сибирский Федеральный округ;Алтайский край;65429,0;
2017;1;Сибирский Федеральный округ;Забайкальский край;20485,0;
2017;1;Сибирский Федеральный округ;Иркутская область;69446,0;
2017;1;Сибирский Федеральный округ;Кемеровская область;56677,0;
2017;1;Сибирский Федеральный округ;Красноярский край;90150,0;
2017;1;Сибирский Федеральный округ;Новосибирская область;132342,0;
2017;1;Сибирский Федеральный округ;Омская область;53061,0;
2017;1;Сибирский Федеральный округ;Республика Алтай;7071,0;
2017;1;Сибирский Федеральный округ;Республика Бурятия;23205,0;
2017;1;Сибирский Федеральный округ;Республика Тыва;4509,0;
2017;1;Сибирский Федеральный округ;Республика Хакасия;14115,0;
2017;1;Сибирский Федеральный округ;Томская область;38259,0;
2017;1;Уральский Федеральный округ;Курганская область;19883,0;
2017;1;Уральский Федеральный округ;Свердловская область;182026,0;
2017;1;Уральский Федеральный округ;Тюменская область;50914,0;
2017;1;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;45007,0;
2017;1;Уральский Федеральный округ;Челябинская область;111975,0;
2017;1;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;14284,0;
2017;1;Центральный Федеральный округ;Белгородская область;45627,0;
2017;1;Центральный Федеральный округ;Брянская область;24043,0;
2017;1;Центральный Федеральный округ;Владимирская область;39171,0;
2017;1;Центральный Федеральный округ;Воронежская область;67351,0;
2017;1;Центральный Федеральный округ;Ивановская область;39705,0;
2017;1;Центральный Федеральный округ;Калужская область;30508,0;
2017;1;Центральный Федеральный округ;Костромская область;21285,0;
2017;1;Центральный Федеральный округ;Курская область;27342,0;
2017;1;Центральный Федеральный округ;Липецкая область;26688,0;
2017;1;Центральный Федеральный округ;Москва;1004491,0;
2017;1;Центральный Федеральный округ;Московская область;270326,0;
2017;1;Центральный Федеральный округ;Орловская область;18594,0;
2017;1;Центральный Федеральный округ;Рязанская область;36589,0;
2017;1;Центральный Федеральный округ;Смоленская область;30936,0;
2017;1;Центральный Федеральный округ;Тамбовская область;22351,0;
2017;1;Центральный Федеральный округ;Тверская область;40395,0;
2017;1;Центральный Федеральный округ;Тульская область;42364,0;
2017;1;Центральный Федеральный округ;Ярославская область;51346,0;
2017;1;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2017;1;Южный Федеральный округ;Астраханская область;23426,0;
2017;1;Южный Федеральный округ;Волгоградская область;58883,0;
2017;1;Южный Федеральный округ;Краснодарский край;181025,0;
2017;1;Южный Федеральный округ;Республика Адыгея;9776,0;
2017;1;Южный Федеральный округ;Республика Калмыкия;5826,0;
2017;1;Южный Федеральный округ;Республика Крым;49008,0;
2017;1;Южный Федеральный округ;Ростовская область;108575,0;
2017;1;Южный Федеральный округ;Севастополь;48481,0;
2017;2;Дальневосточный Федеральный округ;Амурская область;20031,0;
2017;2;Дальневосточный Федеральный округ;Еврейская автономная область;3985,0;
2017;2;Дальневосточный Федеральный округ;Камчатский край;12286,0;
2017;2;Дальневосточный Федеральный округ;Магаданская область;5293,0;
2017;2;Дальневосточный Федеральный округ;Приморский край;75659,0;
2017;2;Дальневосточный Федеральный округ;Республика Саха (Якутия);27654,0;
2017;2;Дальневосточный Федеральный округ;Сахалинская область;19270,0;
2017;2;Дальневосточный Федеральный округ;Хабаровский край;47728,0;
2017;2;Дальневосточный Федеральный округ;Чукотский автономный округ;1170,0;
2017;2;Приволжский Федеральный округ;Кировская область;41582,0;
2017;2;Приволжский Федеральный округ;Нижегородская область;114943,0;
2017;2;Приволжский Федеральный округ;Оренбургская область;45146,0;
2017;2;Приволжский Федеральный округ;Пензенская область;34818,0;
2017;2;Приволжский Федеральный округ;Пермский край;92663,0;
2017;2;Приволжский Федеральный округ;Республика Башкортостан;99292,0;
2017;2;Приволжский Федеральный округ;Республика Марий Эл;17256,0;
2017;2;Приволжский Федеральный округ;Республика Мордовия;18445,0;
2017;2;Приволжский Федеральный округ;Республика Татарстан;140434,0;
2017;2;Приволжский Федеральный округ;Самарская область;121314,0;
2017;2;Приволжский Федеральный округ;Саратовская область;58512,0;
2017;2;Приволжский Федеральный округ;Удмуртская республика;47079,0;
2017;2;Приволжский Федеральный округ;Ульяновская область;34600,0;
2017;2;Приволжский Федеральный округ;Чувашская республика;29647,0;
2017;2;Северо-Западный Федеральный округ;Архангельская область;28105,0;
2017;2;Северо-Западный Федеральный округ;Вологодская область;48937,0;
2017;2;Северо-Западный Федеральный округ;Калининградская область;59914,0;
2017;2;Северо-Западный Федеральный округ;Ленинградская область;39724,0;
2017;2;Северо-Западный Федеральный округ;Мурманская область;20702,0;
2017;2;Северо-Западный Федеральный округ;Ненецкий автономный округ;1178,0;
2017;2;Северо-Западный Федеральный округ;Новгородская область;17387,0;
2017;2;Северо-Западный Федеральный округ;Псковская область;17479,0;
2017;2;Северо-Западный Федеральный округ;Республика Карелия;25392,0;
2017;2;Северо-Западный Федеральный округ;Республика Коми;24411,0;
2017;2;Северо-Западный Федеральный округ;Санкт-Петербург;363833,0;
2017;2;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;13450,0;
2017;2;Северо-Кавказский Федеральный округ;Республика Дагестан;34855,0;
2017;2;Северо-Кавказский Федеральный округ;Республика Ингушетия;5513,0;
2017;2;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;7351,0;
2017;2;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;10604,0;
2017;2;Северо-Кавказский Федеральный округ;Ставропольский край;60092,0;
2017;2;Северо-Кавказский Федеральный округ;Чеченская республика;10578,0;
2017;2;Сибирский Федеральный округ;Алтайский край;65000,0;
2017;2;Сибирский Федеральный округ;Забайкальский край;20360,0;
2017;2;Сибирский Федеральный округ;Иркутская область;69249,0;
2017;2;Сибирский Федеральный округ;Кемеровская область;56322,0;
2017;2;Сибирский Федеральный округ;Красноярский край;90646,0;
2017;2;Сибирский Федеральный округ;Новосибирская область;131358,0;
2017;2;Сибирский Федеральный округ;Омская область;53504,0;
2017;2;Сибирский Федеральный округ;Республика Алтай;7115,0;
2017;2;Сибирский Федеральный округ;Республика Бурятия;23351,0;
2017;2;Сибирский Федеральный округ;Республика Тыва;4519,0;
2017;2;Сибирский Федеральный округ;Республика Хакасия;13738,0;
2017;2;Сибирский Федеральный округ;Томская область;36901,0;
2017;2;Уральский Федеральный округ;Курганская область;18970,0;
2017;2;Уральский Федеральный округ;Свердловская область;182572,0;
2017;2;Уральский Федеральный округ;Тюменская область;51305,0;
2017;2;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;41918,0;
2017;2;Уральский Федеральный округ;Челябинская область;111542,0;
2017;2;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;14244,0;
2017;2;Центральный Федеральный округ;Белгородская область;45877,0;
2017;2;Центральный Федеральный округ;Брянская область;23804,0;
2017;2;Центральный Федеральный округ;Владимирская область;39133,0;
2017;2;Центральный Федеральный округ;Воронежская область;66659,0;
2017;2;Центральный Федеральный округ;Ивановская область;39438,0;
2017;2;Центральный Федеральный округ;Калужская область;30627,0;
2017;2;Центральный Федеральный округ;Костромская область;21204,0;
2017;2;Центральный Федеральный округ;Курская область;27241,0;
2017;2;Центральный Федеральный округ;Липецкая область;26816,0;
2017;2;Центральный Федеральный округ;Москва;1025355,0;
2017;2;Центральный Федеральный округ;Московская область;271636,0;
2017;2;Центральный Федеральный округ;Орловская область;18430,0;
2017;2;Центральный Федеральный округ;Рязанская область;36544,0;
2017;2;Центральный Федеральный округ;Смоленская область;31342,0;
2017;2;Центральный Федеральный округ;Тамбовская область;22493,0;
2017;2;Центральный Федеральный округ;Тверская область;40402,0;
2017;2;Центральный Федеральный округ;Тульская область;41949,0;
2017;2;Центральный Федеральный округ;Ярославская область;50518,0;
2017;2;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2017;2;Южный Федеральный округ;Астраханская область;23386,0;
2017;2;Южный Федеральный округ;Волгоградская область;58407,0;
2017;2;Южный Федеральный округ;Краснодарский край;184219,0;
2017;2;Южный Федеральный округ;Республика Адыгея;9842,0;
2017;2;Южный Федеральный округ;Республика Калмыкия;5764,0;
2017;2;Южный Федеральный округ;Республика Крым;49987,0;
2017;2;Южный Федеральный округ;Ростовская область;108707,0;
2017;2;Южный Федеральный округ;Севастополь;14844,0;
2017;3;Дальневосточный Федеральный округ;Амурская область;19773,0;
2017;3;Дальневосточный Федеральный округ;Еврейская автономная область;4012,0;
2017;3;Дальневосточный Федеральный округ;Камчатский край;12194,0;
2017;3;Дальневосточный Федеральный округ;Магаданская область;5235,0;
2017;3;Дальневосточный Федеральный округ;Приморский край;75628,0;
2017;3;Дальневосточный Федеральный округ;Республика Саха (Якутия);27191,0;
2017;3;Дальневосточный Федеральный округ;Сахалинская область;19196,0;
2017;3;Дальневосточный Федеральный округ;Хабаровский край;47060,0;
2017;3;Дальневосточный Федеральный округ;Чукотский автономный округ;1170,0;
2017;3;Приволжский Федеральный округ;Кировская область;41114,0;
2017;3;Приволжский Федеральный округ;Нижегородская область;111750,0;
2017;3;Приволжский Федеральный округ;Оренбургская область;45046,0;
2017;3;Приволжский Федеральный округ;Пензенская область;34805,0;
2017;3;Приволжский Федеральный округ;Пермский край;91412,0;
2017;3;Приволжский Федеральный округ;Республика Башкортостан;99214,0;
2017;3;Приволжский Федеральный округ;Республика Марий Эл;16932,0;
2017;3;Приволжский Федеральный округ;Республика Мордовия;18107,0;
2017;3;Приволжский Федеральный округ;Республика Татарстан;133071,0;
2017;3;Приволжский Федеральный округ;Самарская область;119749,0;
2017;3;Приволжский Федеральный округ;Саратовская область;58080,0;
2017;3;Приволжский Федеральный округ;Удмуртская республика;45596,0;
2017;3;Приволжский Федеральный округ;Ульяновская область;34096,0;
2017;3;Приволжский Федеральный округ;Чувашская республика;28904,0;
2017;3;Северо-Западный Федеральный округ;Архангельская область;27669,0;
2017;3;Северо-Западный Федеральный округ;Вологодская область;47131,0;
2017;3;Северо-Западный Федеральный округ;Калининградская область;59576,0;
2017;3;Северо-Западный Федеральный округ;Ленинградская область;39783,0;
2017;3;Северо-Западный Федеральный округ;Мурманская область;20446,0;
2017;3;Северо-Западный Федеральный округ;Ненецкий автономный округ;1186,0;
2017;3;Северо-Западный Федеральный округ;Новгородская область;17233,0;
2017;3;Северо-Западный Федеральный округ;Псковская область;17374,0;
2017;3;Северо-Западный Федеральный округ;Республика Карелия;25460,0;
2017;3;Северо-Западный Федеральный округ;Республика Коми;24341,0;
2017;3;Северо-Западный Федеральный округ;Санкт-Петербург;362460,0;
2017;3;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;13389,0;
2017;3;Северо-Кавказский Федеральный округ;Республика Дагестан;34100,0;
2017;3;Северо-Кавказский Федеральный округ;Республика Ингушетия;5504,0;
2017;3;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;7364,0;
2017;3;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;10392,0;
2017;3;Северо-Кавказский Федеральный округ;Ставропольский край;59694,0;
2017;3;Северо-Кавказский Федеральный округ;Чеченская республика;10527,0;
2017;3;Сибирский Федеральный округ;Алтайский край;64022,0;
2017;3;Сибирский Федеральный округ;Забайкальский край;19862,0;
2017;3;Сибирский Федеральный округ;Иркутская область;69347,0;
2017;3;Сибирский Федеральный округ;Кемеровская область;55627,0;
2017;3;Сибирский Федеральный округ;Красноярский край;90662,0;
2017;3;Сибирский Федеральный округ;Новосибирская область;130722,0;
2017;3;Сибирский Федеральный округ;Омская область;52493,0;
2017;3;Сибирский Федеральный округ;Республика Алтай;7082,0;
2017;3;Сибирский Федеральный округ;Республика Бурятия;23368,0;
2017;3;Сибирский Федеральный округ;Республика Тыва;4555,0;
2017;3;Сибирский Федеральный округ;Республика Хакасия;13276,0;
2017;3;Сибирский Федеральный округ;Томская область;36214,0;
2017;3;Уральский Федеральный округ;Курганская область;18614,0;
2017;3;Уральский Федеральный округ;Свердловская область;180161,0;
2017;3;Уральский Федеральный округ;Тюменская область;51649,0;
2017;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;40794,0;
2017;3;Уральский Федеральный округ;Челябинская область;110400,0;
2017;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;13933,0;
2017;3;Центральный Федеральный округ;Белгородская область;45962,0;
2017;3;Центральный Федеральный округ;Брянская область;23062,0;
2017;3;Центральный Федеральный округ;Владимирская область;38841,0;
2017;3;Центральный Федеральный округ;Воронежская область;66533,0;
2017;3;Центральный Федеральный округ;Ивановская область;38605,0;
2017;3;Центральный Федеральный округ;Калужская область;30506,0;
2017;3;Центральный Федеральный округ;Костромская область;21093,0;
2017;3;Центральный Федеральный округ;Курская область;26577,0;
2017;3;Центральный Федеральный округ;Липецкая область;26698,0;
2017;3;Центральный Федеральный округ;Москва;1018799,0;
2017;3;Центральный Федеральный округ;Московская область;270033,0;
2017;3;Центральный Федеральный округ;Орловская область;18421,0;
2017;3;Центральный Федеральный округ;Рязанская область;35835,0;
2017;3;Центральный Федеральный округ;Смоленская область;31658,0;
2017;3;Центральный Федеральный округ;Тамбовская область;22243,0;
2017;3;Центральный Федеральный округ;Тверская область;40377,0;
2017;3;Центральный Федеральный округ;Тульская область;41998,0;
2017;3;Центральный Федеральный округ;Ярославская область;50608,0;
2017;3;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2017;3;Южный Федеральный округ;Астраханская область;23365,0;
2017;3;Южный Федеральный округ;Волгоградская область;57748,0;
2017;3;Южный Федеральный округ;Краснодарский край;182752,0;
2017;3;Южный Федеральный округ;Республика Адыгея;9882,0;
2017;3;Южный Федеральный округ;Республика Калмыкия;5723,0;
2017;3;Южный Федеральный округ;Республика Крым;50616,0;
2017;3;Южный Федеральный округ;Ростовская область;109620,0;
2017;3;Южный Федеральный округ;Севастополь;15057,0;
