Год;Квартал;Федеральный округ;Регион;Количество страхователей, тыс. ед.;
2017;4;Дальневосточный Федеральный округ;Амурская область;19510,0;
2017;4;Дальневосточный Федеральный округ;Еврейская автономная область;4020,0;
2017;4;Дальневосточный Федеральный округ;Камчатский край;12200,0;
2017;4;Дальневосточный Федеральный округ;Магаданская область;5165,0;
2017;4;Дальневосточный Федеральный округ;Приморский край;75617,0;
2017;4;Дальневосточный Федеральный округ;Республика Саха (Якутия);27115,0;
2017;4;Дальневосточный Федеральный округ;Сахалинская область;18788,0;
2017;4;Дальневосточный Федеральный округ;Хабаровский край;46537,0;
2017;4;Дальневосточный Федеральный округ;Чукотский автономный округ;1173,0;
2017;4;Приволжский Федеральный округ;Кировская область;40812,0;
2017;4;Приволжский Федеральный округ;Нижегородская область;109509,0;
2017;4;Приволжский Федеральный округ;Оренбургская область;44972,0;
2017;4;Приволжский Федеральный округ;Пензенская область;34776,0;
2017;4;Приволжский Федеральный округ;Пермский край;89740,0;
2017;4;Приволжский Федеральный округ;Республика Башкортостан;97421,0;
2017;4;Приволжский Федеральный округ;Республика Марий Эл;16933,0;
2017;4;Приволжский Федеральный округ;Республика Мордовия;18070,0;
2017;4;Приволжский Федеральный округ;Республика Татарстан;131365,0;
2017;4;Приволжский Федеральный округ;Самарская область;116745,0;
2017;4;Приволжский Федеральный округ;Саратовская область;57445,0;
2017;4;Приволжский Федеральный округ;Удмуртская республика;44759,0;
2017;4;Приволжский Федеральный округ;Ульяновская область;33790,0;
2017;4;Приволжский Федеральный округ;Чувашская республика;29077,0;
2017;4;Северо-Западный Федеральный округ;Архангельская область;27621,0;
2017;4;Северо-Западный Федеральный округ;Вологодская область;45901,0;
2017;4;Северо-Западный Федеральный округ;Калининградская область;58328,0;
2017;4;Северо-Западный Федеральный округ;Ленинградская область;39988,0;
2017;4;Северо-Западный Федеральный округ;Мурманская область;20406,0;
2017;4;Северо-Западный Федеральный округ;Ненецкий автономный округ;1173,0;
2017;4;Северо-Западный Федеральный округ;Новгородская область;17048,0;
2017;4;Северо-Западный Федеральный округ;Псковская область;17483,0;
2017;4;Северо-Западный Федеральный округ;Республика Карелия;24529,0;
2017;4;Северо-Западный Федеральный округ;Республика Коми;24061,0;
2017;4;Северо-Западный Федеральный округ;Санкт-Петербург;353224,0;
2017;4;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;13477,0;
2017;4;Северо-Кавказский Федеральный округ;Республика Дагестан;33302,0;
2017;4;Северо-Кавказский Федеральный округ;Республика Ингушетия;5555,0;
2017;4;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;7566,0;
2017;4;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;10163,0;
2017;4;Северо-Кавказский Федеральный округ;Ставропольский край;58998,0;
2017;4;Северо-Кавказский Федеральный округ;Чеченская республика;10578,0;
2017;4;Сибирский Федеральный округ;Алтайский край;63564,0;
2017;4;Сибирский Федеральный округ;Забайкальский край;19881,0;
2017;4;Сибирский Федеральный округ;Иркутская область;68396,0;
2017;4;Сибирский Федеральный округ;Кемеровская область;55311,0;
2017;4;Сибирский Федеральный округ;Красноярский край;89050,0;
2017;4;Сибирский Федеральный округ;Новосибирская область;129039,0;
2017;4;Сибирский Федеральный округ;Омская область;52224,0;
2017;4;Сибирский Федеральный округ;Республика Алтай;7049,0;
2017;4;Сибирский Федеральный округ;Республика Бурятия;23384,0;
2017;4;Сибирский Федеральный округ;Республика Тыва;4589,0;
2017;4;Сибирский Федеральный округ;Республика Хакасия;12893,0;
2017;4;Сибирский Федеральный округ;Томская область;36424,0;
2017;4;Уральский Федеральный округ;Курганская область;18336,0;
2017;4;Уральский Федеральный округ;Свердловская область;171885,0;
2017;4;Уральский Федеральный округ;Тюменская область;51204,0;
2017;4;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;40727,0;
2017;4;Уральский Федеральный округ;Челябинская область;109977,0;
2017;4;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;13748,0;
2017;4;Центральный Федеральный округ;Белгородская область;46698,0;
2017;4;Центральный Федеральный округ;Брянская область;23004,0;
2017;4;Центральный Федеральный округ;Владимирская область;38420,0;
2017;4;Центральный Федеральный округ;Воронежская область;66312,0;
2017;4;Центральный Федеральный округ;Ивановская область;37957,0;
2017;4;Центральный Федеральный округ;Калужская область;30561,0;
2017;4;Центральный Федеральный округ;Костромская область;20992,0;
2017;4;Центральный Федеральный округ;Курская область;26463,0;
2017;4;Центральный Федеральный округ;Липецкая область;26591,0;
2017;4;Центральный Федеральный округ;Москва;982377,0;
2017;4;Центральный Федеральный округ;Московская область;268035,0;
2017;4;Центральный Федеральный округ;Орловская область;18420,0;
2017;4;Центральный Федеральный округ;Рязанская область;35135,0;
2017;4;Центральный Федеральный округ;Смоленская область;31744,0;
2017;4;Центральный Федеральный округ;Тамбовская область;22314,0;
2017;4;Центральный Федеральный округ;Тверская область;40154,0;
2017;4;Центральный Федеральный округ;Тульская область;41189,0;
2017;4;Центральный Федеральный округ;Ярославская область;50638,0;
2017;4;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2017;4;Южный Федеральный округ;Астраханская область;23055,0;
2017;4;Южный Федеральный округ;Волгоградская область;57003,0;
2017;4;Южный Федеральный округ;Краснодарский край;178987,0;
2017;4;Южный Федеральный округ;Республика Адыгея;10092,0;
2017;4;Южный Федеральный округ;Республика Калмыкия;5504,0;
2017;4;Южный Федеральный округ;Республика Крым;51215,0;
2017;4;Южный Федеральный округ;Ростовская область;108979,0;
2017;4;Южный Федеральный округ;Севастополь;15262,0;
2018;1;Дальневосточный Федеральный округ;Амурская область;19363,0;
2018;1;Дальневосточный Федеральный округ;Еврейская автономная область;3987,0;
2018;1;Дальневосточный Федеральный округ;Камчатский край;12142,0;
2018;1;Дальневосточный Федеральный округ;Магаданская область;4933,0;
2018;1;Дальневосточный Федеральный округ;Приморский край;74420,0;
2018;1;Дальневосточный Федеральный округ;Республика Саха (Якутия);26898,0;
2018;1;Дальневосточный Федеральный округ;Сахалинская область;18756,0;
2018;1;Дальневосточный Федеральный округ;Хабаровский край;45812,0;
2018;1;Дальневосточный Федеральный округ;Чукотский автономный округ;1181,0;
2018;1;Приволжский Федеральный округ;Кировская область;40262,0;
2018;1;Приволжский Федеральный округ;Нижегородская область;108066,0;
2018;1;Приволжский Федеральный округ;Оренбургская область;44660,0;
2018;1;Приволжский Федеральный округ;Пензенская область;34492,0;
2018;1;Приволжский Федеральный округ;Пермский край;88532,0;
2018;1;Приволжский Федеральный округ;Республика Башкортостан;96354,0;
2018;1;Приволжский Федеральный округ;Республика Марий Эл;16843,0;
2018;1;Приволжский Федеральный округ;Республика Мордовия;17746,0;
2018;1;Приволжский Федеральный округ;Республика Татарстан;130217,0;
2018;1;Приволжский Федеральный округ;Самарская область;114599,0;
2018;1;Приволжский Федеральный округ;Саратовская область;57025,0;
2018;1;Приволжский Федеральный округ;Удмуртская республика;44003,0;
2018;1;Приволжский Федеральный округ;Ульяновская область;33720,0;
2018;1;Приволжский Федеральный округ;Чувашская республика;28898,0;
2018;1;Северо-Западный Федеральный округ;Архангельская область;27247,0;
2018;1;Северо-Западный Федеральный округ;Вологодская область;45245,0;
2018;1;Северо-Западный Федеральный округ;Калининградская область;56741,0;
2018;1;Северо-Западный Федеральный округ;Ленинградская область;39861,0;
2018;1;Северо-Западный Федеральный округ;Мурманская область;20037,0;
2018;1;Северо-Западный Федеральный округ;Ненецкий автономный округ;1172,0;
2018;1;Северо-Западный Федеральный округ;Новгородская область;16460,0;
2018;1;Северо-Западный Федеральный округ;Псковская область;17540,0;
2018;1;Северо-Западный Федеральный округ;Республика Карелия;23749,0;
2018;1;Северо-Западный Федеральный округ;Республика Коми;23682,0;
2018;1;Северо-Западный Федеральный округ;Санкт-Петербург;343625,0;
2018;1;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;13405,0;
2018;1;Северо-Кавказский Федеральный округ;Республика Дагестан;32970,0;
2018;1;Северо-Кавказский Федеральный округ;Республика Ингушетия;5498,0;
2018;1;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;7602,0;
2018;1;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;10270,0;
2018;1;Северо-Кавказский Федеральный округ;Ставропольский край;57704,0;
2018;1;Северо-Кавказский Федеральный округ;Чеченская республика;10657,0;
2018;1;Сибирский Федеральный округ;Алтайский край;62875,0;
2018;1;Сибирский Федеральный округ;Забайкальский край;19720,0;
2018;1;Сибирский Федеральный округ;Иркутская область;67393,0;
2018;1;Сибирский Федеральный округ;Кемеровская область;54181,0;
2018;1;Сибирский Федеральный округ;Красноярский край;88616,0;
2018;1;Сибирский Федеральный округ;Новосибирская область;128459,0;
2018;1;Сибирский Федеральный округ;Омская область;51899,0;
2018;1;Сибирский Федеральный округ;Республика Алтай;6974,0;
2018;1;Сибирский Федеральный округ;Республика Бурятия;23375,0;
2018;1;Сибирский Федеральный округ;Республика Тыва;4614,0;
2018;1;Сибирский Федеральный округ;Республика Хакасия;12672,0;
2018;1;Сибирский Федеральный округ;Томская область;36215,0;
2018;1;Уральский Федеральный округ;Курганская область;18084,0;
2018;1;Уральский Федеральный округ;Свердловская область;169113,0;
2018;1;Уральский Федеральный округ;Тюменская область;50998,0;
2018;1;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;40536,0;
2018;1;Уральский Федеральный округ;Челябинская область;108602,0;
2018;1;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;13503,0;
2018;1;Центральный Федеральный округ;Белгородская область;45967,0;
2018;1;Центральный Федеральный округ;Брянская область;22755,0;
2018;1;Центральный Федеральный округ;Владимирская область;37896,0;
2018;1;Центральный Федеральный округ;Воронежская область;65837,0;
2018;1;Центральный Федеральный округ;Ивановская область;37380,0;
2018;1;Центральный Федеральный округ;Калужская область;30209,0;
2018;1;Центральный Федеральный округ;Костромская область;20565,0;
2018;1;Центральный Федеральный округ;Курская область;26267,0;
2018;1;Центральный Федеральный округ;Липецкая область;26314,0;
2018;1;Центральный Федеральный округ;Москва;951731,0;
2018;1;Центральный Федеральный округ;Московская область;263823,0;
2018;1;Центральный Федеральный округ;Орловская область;18098,0;
2018;1;Центральный Федеральный округ;Рязанская область;34667,0;
2018;1;Центральный Федеральный округ;Смоленская область;31563,0;
2018;1;Центральный Федеральный округ;Тамбовская область;22264,0;
2018;1;Центральный Федеральный округ;Тверская область;39608,0;
2018;1;Центральный Федеральный округ;Тульская область;40920,0;
2018;1;Центральный Федеральный округ;Ярославская область;50158,0;
2018;1;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2018;1;Южный Федеральный округ;Астраханская область;22664,0;
2018;1;Южный Федеральный округ;Волгоградская область;56633,0;
2018;1;Южный Федеральный округ;Краснодарский край;177752,0;
2018;1;Южный Федеральный округ;Республика Адыгея;10064,0;
2018;1;Южный Федеральный округ;Республика Калмыкия;5471,0;
2018;1;Южный Федеральный округ;Республика Крым;51414,0;
2018;1;Южный Федеральный округ;Ростовская область;108923,0;
2018;1;Южный Федеральный округ;Севастополь;15330,0;
2018;2;Дальневосточный Федеральный округ;Амурская область;19279,0;
2018;2;Дальневосточный Федеральный округ;Еврейская автономная область;3898,0;
2018;2;Дальневосточный Федеральный округ;Камчатский край;12180,0;
2018;2;Дальневосточный Федеральный округ;Магаданская область;4929,0;
2018;2;Дальневосточный Федеральный округ;Приморский край;74629,0;
2018;2;Дальневосточный Федеральный округ;Республика Саха (Якутия);26953,0;
2018;2;Дальневосточный Федеральный округ;Сахалинская область;18664,0;
2018;2;Дальневосточный Федеральный округ;Хабаровский край;45764,0;
2018;2;Дальневосточный Федеральный округ;Чукотский автономный округ;1198,0;
2018;2;Приволжский Федеральный округ;Кировская область;39921,0;
2018;2;Приволжский Федеральный округ;Нижегородская область;106888,0;
2018;2;Приволжский Федеральный округ;Оренбургская область;44416,0;
2018;2;Приволжский Федеральный округ;Пензенская область;34315,0;
2018;2;Приволжский Федеральный округ;Пермский край;86780,0;
2018;2;Приволжский Федеральный округ;Республика Башкортостан;96455,0;
2018;2;Приволжский Федеральный округ;Республика Марий Эл;16811,0;
2018;2;Приволжский Федеральный округ;Республика Мордовия;17523,0;
2018;2;Приволжский Федеральный округ;Республика Татарстан;130798,0;
2018;2;Приволжский Федеральный округ;Самарская область;115190,0;
2018;2;Приволжский Федеральный округ;Саратовская область;56790,0;
2018;2;Приволжский Федеральный округ;Удмуртская республика;43374,0;
2018;2;Приволжский Федеральный округ;Ульяновская область;33606,0;
2018;2;Приволжский Федеральный округ;Чувашская республика;28994,0;
2018;2;Северо-Западный Федеральный округ;Архангельская область;27004,0;
2018;2;Северо-Западный Федеральный округ;Вологодская область;45036,0;
2018;2;Северо-Западный Федеральный округ;Калининградская область;55445,0;
2018;2;Северо-Западный Федеральный округ;Ленинградская область;39926,0;
2018;2;Северо-Западный Федеральный округ;Мурманская область;19910,0;
2018;2;Северо-Западный Федеральный округ;Ненецкий автономный округ;1179,0;
2018;2;Северо-Западный Федеральный округ;Новгородская область;16303,0;
2018;2;Северо-Западный Федеральный округ;Псковская область;17548,0;
2018;2;Северо-Западный Федеральный округ;Республика Карелия;23726,0;
2018;2;Северо-Западный Федеральный округ;Республика Коми;23317,0;
2018;2;Северо-Западный Федеральный округ;Санкт-Петербург;340657,0;
2018;2;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;13375,0;
2018;2;Северо-Кавказский Федеральный округ;Республика Дагестан;32720,0;
2018;2;Северо-Кавказский Федеральный округ;Республика Ингушетия;5517,0;
2018;2;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;7685,0;
2018;2;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;10400,0;
2018;2;Северо-Кавказский Федеральный округ;Ставропольский край;56616,0;
2018;2;Северо-Кавказский Федеральный округ;Чеченская республика;10793,0;
2018;2;Сибирский Федеральный округ;Алтайский край;62040,0;
2018;2;Сибирский Федеральный округ;Забайкальский край;19552,0;
2018;2;Сибирский Федеральный округ;Иркутская область;67208,0;
2018;2;Сибирский Федеральный округ;Кемеровская область;53934,0;
2018;2;Сибирский Федеральный округ;Красноярский край;88300,0;
2018;2;Сибирский Федеральный округ;Новосибирская область;128394,0;
2018;2;Сибирский Федеральный округ;Омская область;51856,0;
2018;2;Сибирский Федеральный округ;Республика Алтай;6934,0;
2018;2;Сибирский Федеральный округ;Республика Бурятия;23515,0;
2018;2;Сибирский Федеральный округ;Республика Тыва;4581,0;
2018;2;Сибирский Федеральный округ;Республика Хакасия;12605,0;
2018;2;Сибирский Федеральный округ;Томская область;36031,0;
2018;2;Уральский Федеральный округ;Курганская область;17955,0;
2018;2;Уральский Федеральный округ;Свердловская область;168048,0;
2018;2;Уральский Федеральный округ;Тюменская область;51161,0;
2018;2;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;40438,0;
2018;2;Уральский Федеральный округ;Челябинская область;107809,0;
2018;2;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;13066,0;
2018;2;Центральный Федеральный округ;Белгородская область;45021,0;
2018;2;Центральный Федеральный округ;Брянская область;22601,0;
2018;2;Центральный Федеральный округ;Владимирская область;37559,0;
2018;2;Центральный Федеральный округ;Воронежская область;65093,0;
2018;2;Центральный Федеральный округ;Ивановская область;36602,0;
2018;2;Центральный Федеральный округ;Калужская область;30086,0;
2018;2;Центральный Федеральный округ;Костромская область;20288,0;
2018;2;Центральный Федеральный округ;Курская область;26057,0;
2018;2;Центральный Федеральный округ;Липецкая область;26138,0;
2018;2;Центральный Федеральный округ;Москва;932674,0;
2018;2;Центральный Федеральный округ;Московская область;263065,0;
2018;2;Центральный Федеральный округ;Орловская область;17873,0;
2018;2;Центральный Федеральный округ;Рязанская область;34121,0;
2018;2;Центральный Федеральный округ;Смоленская область;31521,0;
2018;2;Центральный Федеральный округ;Тамбовская область;22019,0;
2018;2;Центральный Федеральный округ;Тверская область;39328,0;
2018;2;Центральный Федеральный округ;Тульская область;40872,0;
2018;2;Центральный Федеральный округ;Ярославская область;49416,0;
2018;2;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2018;2;Южный Федеральный округ;Астраханская область;22166,0;
2018;2;Южный Федеральный округ;Волгоградская область;55902,0;
2018;2;Южный Федеральный округ;Краснодарский край;175198,0;
2018;2;Южный Федеральный округ;Республика Адыгея;10129,0;
2018;2;Южный Федеральный округ;Республика Калмыкия;5381,0;
2018;2;Южный Федеральный округ;Республика Крым;51957,0;
2018;2;Южный Федеральный округ;Ростовская область;109109,0;
2018;2;Южный Федеральный округ;Севастополь;15392,0;
2018;3;Дальневосточный Федеральный округ;Амурская область;19459,0;
2018;3;Дальневосточный Федеральный округ;Еврейская автономная область;3788,0;
2018;3;Дальневосточный Федеральный округ;Камчатский край;12122,0;
2018;3;Дальневосточный Федеральный округ;Магаданская область;4918,0;
2018;3;Дальневосточный Федеральный округ;Приморский край;74196,0;
2018;3;Дальневосточный Федеральный округ;Республика Саха (Якутия);26873,0;
2018;3;Дальневосточный Федеральный округ;Сахалинская область;18617,0;
2018;3;Дальневосточный Федеральный округ;Хабаровский край;45822,0;
2018;3;Дальневосточный Федеральный округ;Чукотский автономный округ;1191,0;
2018;3;Приволжский Федеральный округ;Кировская область;39583,0;
2018;3;Приволжский Федеральный округ;Нижегородская область;106103,0;
2018;3;Приволжский Федеральный округ;Оренбургская область;44057,0;
2018;3;Приволжский Федеральный округ;Пензенская область;33938,0;
2018;3;Приволжский Федеральный округ;Пермский край;85817,0;
2018;3;Приволжский Федеральный округ;Республика Башкортостан;97012,0;
2018;3;Приволжский Федеральный округ;Республика Марий Эл;16538,0;
2018;3;Приволжский Федеральный округ;Республика Мордовия;17469,0;
2018;3;Приволжский Федеральный округ;Республика Татарстан;131531,0;
2018;3;Приволжский Федеральный округ;Самарская область;115820,0;
2018;3;Приволжский Федеральный округ;Саратовская область;56788,0;
2018;3;Приволжский Федеральный округ;Удмуртская республика;43259,0;
2018;3;Приволжский Федеральный округ;Ульяновская область;33514,0;
2018;3;Приволжский Федеральный округ;Чувашская республика;29020,0;
2018;3;Северо-Западный Федеральный округ;Архангельская область;26878,0;
2018;3;Северо-Западный Федеральный округ;Вологодская область;44863,0;
2018;3;Северо-Западный Федеральный округ;Калининградская область;55022,0;
2018;3;Северо-Западный Федеральный округ;Ленинградская область;40052,0;
2018;3;Северо-Западный Федеральный округ;Мурманская область;19412,0;
2018;3;Северо-Западный Федеральный округ;Ненецкий автономный округ;1178,0;
2018;3;Северо-Западный Федеральный округ;Новгородская область;16109,0;
2018;3;Северо-Западный Федеральный округ;Псковская область;17456,0;
2018;3;Северо-Западный Федеральный округ;Республика Карелия;23535,0;
2018;3;Северо-Западный Федеральный округ;Республика Коми;23153,0;
2018;3;Северо-Западный Федеральный округ;Санкт-Петербург;340335,0;
2018;3;Северо-Кавказский Федеральный округ;Кабардино-Балкарская республика;13232,0;
2018;3;Северо-Кавказский Федеральный округ;Республика Дагестан;32843,0;
2018;3;Северо-Кавказский Федеральный округ;Республика Ингушетия;5706,0;
2018;3;Северо-Кавказский Федеральный округ;Республика Карачаево-Черкесия;7696,0;
2018;3;Северо-Кавказский Федеральный округ;Республика Северная Осетия - Алания;10260,0;
2018;3;Северо-Кавказский Федеральный округ;Ставропольский край;56547,0;
2018;3;Северо-Кавказский Федеральный округ;Чеченская республика;10720,0;
2018;3;Сибирский Федеральный округ;Алтайский край;61374,0;
2018;3;Сибирский Федеральный округ;Забайкальский край;19342,0;
2018;3;Сибирский Федеральный округ;Иркутская область;66662,0;
2018;3;Сибирский Федеральный округ;Кемеровская область;53549,0;
2018;3;Сибирский Федеральный округ;Красноярский край;88589,0;
2018;3;Сибирский Федеральный округ;Новосибирская область;128491,0;
2018;3;Сибирский Федеральный округ;Омская область;51393,0;
2018;3;Сибирский Федеральный округ;Республика Алтай;6787,0;
2018;3;Сибирский Федеральный округ;Республика Бурятия;23378,0;
2018;3;Сибирский Федеральный округ;Республика Тыва;4557,0;
2018;3;Сибирский Федеральный округ;Республика Хакасия;12469,0;
2018;3;Сибирский Федеральный округ;Томская область;36115,0;
2018;3;Уральский Федеральный округ;Курганская область;17864,0;
2018;3;Уральский Федеральный округ;Свердловская область;166809,0;
2018;3;Уральский Федеральный округ;Тюменская область;51350,0;
2018;3;Уральский Федеральный округ;Ханты-Мансийский автономный округ Югра;40297,0;
2018;3;Уральский Федеральный округ;Челябинская область;107242,0;
2018;3;Уральский Федеральный округ;Ямало-Ненецкий автономный округ;13006,0;
2018;3;Центральный Федеральный округ;Белгородская область;44812,0;
2018;3;Центральный Федеральный округ;Брянская область;22428,0;
2018;3;Центральный Федеральный округ;Владимирская область;37387,0;
2018;3;Центральный Федеральный округ;Воронежская область;64529,0;
2018;3;Центральный Федеральный округ;Ивановская область;36582,0;
2018;3;Центральный Федеральный округ;Калужская область;29890,0;
2018;3;Центральный Федеральный округ;Костромская область;20074,0;
2018;3;Центральный Федеральный округ;Курская область;25758,0;
2018;3;Центральный Федеральный округ;Липецкая область;26048,0;
2018;3;Центральный Федеральный округ;Москва;916605,0;
2018;3;Центральный Федеральный округ;Московская область;249449,0;
2018;3;Центральный Федеральный округ;Орловская область;17850,0;
2018;3;Центральный Федеральный округ;Рязанская область;34048,0;
2018;3;Центральный Федеральный округ;Смоленская область;31634,0;
2018;3;Центральный Федеральный округ;Тамбовская область;22006,0;
2018;3;Центральный Федеральный округ;Тверская область;38904,0;
2018;3;Центральный Федеральный округ;Тульская область;40532,0;
2018;3;Центральный Федеральный округ;Ярославская область;48803,0;
2018;3;Центральный федеральный округ;ЦА ФСС РФ;0,0;
2018;3;Южный Федеральный округ;Астраханская область;22015,0;
2018;3;Южный Федеральный округ;Волгоградская область;55206,0;
2018;3;Южный Федеральный округ;Краснодарский край;174467,0;
2018;3;Южный Федеральный округ;Республика Адыгея;10217,0;
2018;3;Южный Федеральный округ;Республика Калмыкия;5418,0;
2018;3;Южный Федеральный округ;Республика Крым;52592,0;
2018;3;Южный Федеральный округ;Ростовская область;109121,0;
2018;3;Южный Федеральный округ;Севастополь;15510,0;
